Date,SPY,IEAC.AS,GLD
2021-06-08,0.00021314103481917535,0.0006678765945242748,-0.0030920774052216604
2021-06-09,-0.0014919014380936346,0.0007414690460170181,-0.0019175027218333307
2021-06-10,0.004648302781317781,0.0014818393540219077,0.004294325821970535
2021-06-11,0.0016525924412389426,7.406527045028533e-05,-0.011252390785353672
2021-06-14,0.0022388891832252344,0.00044391218359374207,-0.005860923791407013
2021-06-15,-0.0018341944181542447,-0.0013310181163201928,-0.0037777095572453234
2021-06-16,-0.00558320438613924,-0.0003704363922023557,-0.016891711518855712
2021-06-17,-0.0003317703641284586,0.0003705736661743231,-0.030740427140865334
2021-06-18,-0.013490484337967401,-0.0008888047252411102,-0.005547261946798776
2021-06-21,0.014316093132312968,-0.0011856585795344543,0.012247646651096789
2021-06-22,0.005346119963573592,-0.0007420282348205021,-0.0041928539145718036
2021-06-23,-0.0012051688094584234,0.0011881396046429238,-0.0006616578066259704
2021-06-24,0.005915589257733833,0.0009641818312509098,-0.0006019387497473438
2021-06-25,0.003552077264958653,-0.0014820949096575609,0.0033124733437563947
2021-06-28,0.0020159541852329266,0.0005937051134077276,-5.999463986816611e-05
2021-06-29,0.0005380401305405957,0.0010382875321726104,-0.010505462725200698
2021-06-30,0.0008418061573609581,0.0005926096460395769,0.004853503869870712
2021-07-01,0.0055364874525356544,-0.00014804870655604763,0.0034413575356286863
2021-07-02,0.007643591047147069,0.0017032272564887485,0.006558341503640763
2021-07-05,0.0,-0.0003695152765277321,0.0
2021-07-06,-0.001821612620135804,0.001478990070539865,0.004961455343207799
2021-07-07,0.0035342496709938054,0.0016982567336052412,0.003806801143447114
2021-07-08,-0.008147949747988048,0.00029493670588376375,-0.0006518168637834609
2021-07-09,0.010674648518454122,-0.000810582614833022,0.003320562334123478
2021-07-12,0.0035819541002868327,0.0011063291298634148,-0.001241101031467462
2021-07-13,-0.003408966692644344,-0.00036845354140713216,0.001301782371024407
2021-07-14,0.001492216035019478,0.0009583323085913253,0.010755182911599048
2021-07-15,-0.0034156054444531847,0.0007381236282795189,0.00017547964957964624
2021-07-16,-0.007843465693845753,0.00029519663121835293,-0.00970365108457183
2021-07-19,-0.014768000347924692,0.000221601686760442,0.0011805498135817327
2021-07-20,0.014330521318943745,0.0010332568573190315,-0.001297100524211059
2021-07-21,0.008096317467517933,-0.00022113387391520245,-0.0037192566567244567
2021-07-22,0.0020940121520156563,0.0012534747112238342,0.001955450591350383
2021-07-23,0.010287906876107922,0.0005891878244219662,-0.0031344183025339145
2021-07-26,0.002454934387025931,0.0,-0.0023730060647713103
2021-07-27,-0.004557335225004455,0.0003680018385545658,0.0016650735799190741
2021-07-28,-0.0004102449058228652,0.0009564907347467955,0.005046252863966982
2021-07-29,0.004147400558830006,0.00022061001542938996,0.011105233370970247
2021-07-30,-0.004856576881215879,0.0001468725214077704,-0.007886842666167015
2021-08-02,-0.0020979032405167297,0.0005145465465434818,-0.0012366429443513294
2021-08-03,0.008135366763199814,0.0002936139625713263,-0.0007074766626713469
2021-08-04,-0.0049188447462495954,0.00022028777203519923,0.0002359625041987723
2021-08-05,0.0063328201581902555,0.000293652341360362,-0.0039520921003340925
2021-08-06,0.001652218326670285,-0.001174264539909431,-0.024991124040327772
2021-08-09,-0.0008133014008877559,-0.00044061439574338834,-0.017735654639032372
2021-08-10,0.0012437066081083525,-7.363651198877275e-05,0.00030919522248562537
2021-08-11,0.0024851327205364093,-0.00029380984591409476,0.01378497662510525
2021-08-12,0.0029970178065628073,0.0007351827229469254,0.0002438615008097944
2021-08-13,0.0018196318883738627,-0.0004409623395434936,0.014325811995228088
2021-08-16,0.0023547466209812296,-0.00022054685768091442,0.004988291568599701
2021-08-17,-0.006554936695579161,0.00014719001624641237,-0.0014950364679763295
2021-08-18,-0.010945344130594004,0.00029402089714847257,0.0007786122169375354
2021-08-19,0.001548316614470302,7.343626070399623e-05,-0.002932408589264246
2021-08-20,0.007957294348144073,0.00014705115397584123,0.0005401616803368814
2021-08-23,0.008796386655801847,-0.0005876762231654675,0.012177557387281546
2021-08-24,0.00158748247386864,-0.00044115846798753466,-0.00047414113127741686
2021-08-25,0.002098311971923339,-0.002206639483591455,-0.006937433805443538
2021-08-26,-0.0059031925180182965,-0.0008846584716688533,0.0011344784228162208
2021-08-27,0.008941014540560843,0.0008854417852453,0.015029547921398434
2021-08-30,0.00439750875107503,0.00058970897979016,-0.0049356385559711224
2021-08-31,-0.0014816716055719992,-0.001915503762867976,0.0020076547129428413
2021-09-01,0.0005314785460523996,-0.0005166096077083848,5.8898619200498104e-05
2021-09-02,0.0030768148381437044,0.0005907342789015502,-0.0026517204262498373
2021-09-03,-0.0002429007931357141,-0.00044275743139055024,0.01069422486613747
2021-09-06,0.0,-0.0005168637340502436,0.0
2021-09-07,-0.00357546266951303,-0.0019207542254688903,-0.01958371853465668
2021-09-08,-0.0012183645607333204,7.383632426627429e-05,-0.0025044029033459703
2021-09-09,-0.004280059076342768,0.0020724154313773724,0.004423489287242344
2021-09-10,-0.00788451776520871,-0.0009602913315239769,-0.005058656845151166
2021-09-13,0.0025591527144148696,0.00022194574639766707,0.0033497597913456634
2021-09-14,-0.005396587050130908,0.00044366597908807037,0.006438546534438316
2021-09-15,0.00835265041846478,-0.0008867480146405038,-0.005864266379652205
2021-09-16,-0.0015849941765262443,7.4083030303429e-05,-0.02264197706190263
2021-09-17,-0.009741153582615514,-0.001404995583618951,-0.0015850424237688898
2021-09-20,-0.016674370824080076,0.0009624543553095055,0.0071441542310690664
2021-09-21,-0.0009445138502395256,0.00022214064000403155,0.006669036185550814
2021-09-22,0.009754879255126081,7.38397985202699e-05,-0.0037340107339023376
2021-09-23,0.012149980822999895,-0.0025143708516233154,-0.011546389089901132
2021-09-24,0.0016470124933853914,-0.001112217949872707,-0.00128427290155253
2021-09-27,-0.002860858390617782,0.0002226912712035567,0.00208203509820426
2021-09-28,-0.02015181944310085,-0.0017066008415753675,-0.009716428402719801
2021-09-29,0.0016831606983960246,0.0011150476378061214,-0.004504756024632184
2021-09-30,-0.012222406459913127,-0.0008912869760331343,0.01797665363761114
2021-10-01,0.011884342916451907,0.000966214729921866,0.0022530453929923144
2021-10-04,-0.01289615440427161,0.0,0.0046783175745395145
2021-10-05,0.0104049652274123,-0.0009652820601767642,-0.004656532835140448
2021-10-06,0.0041560957795456765,-0.0015604891478033789,0.0026733243283083574
2021-10-07,0.008645575520224602,0.0004465782881220015,-0.005271739220885419
2021-10-08,-0.0018235438606333254,-0.0014879511244779708,0.00042636491147840516
2021-10-11,-0.007239660453288943,-0.001788176499140648,-0.0018875818465466931
2021-10-12,-0.002461637778899406,-0.0018662237172477614,0.004514430828637339
2021-10-13,0.003597539998974275,0.0008226377468452117,0.017794197805277356
2021-10-14,0.016820643288896875,0.00381082518829734,0.0024464685904206362
2021-10-15,0.007615749957246454,-0.0008189050668759856,-0.015892846243722114
2021-10-18,0.0029605563262569135,-0.0016390244252149078,-0.0024799108302698825
2021-10-19,0.007714899501295891,-0.001641651122112342,0.003213671993580469
2021-10-20,0.003927693157986134,0.0012707834063738765,0.008763958748792211
2021-10-21,0.002608265664788778,-0.0022393279322390214,-0.0008987052245035265
2021-10-22,-0.0010361403788780033,0.0002990414666763641,0.006116967151190034
2021-10-25,0.0053627537404796755,0.0015707193543765818,0.006914158513320778
2021-10-26,0.0008999161156746371,0.0005975439295522467,-0.00739951491266011
2021-10-27,-0.004430031455216921,0.0008954279438924129,0.002624060476058121
2021-10-28,0.009648835675361012,-0.0008946268699937532,-0.00023788536339730548
2021-10-29,0.0020292192556248256,-0.0032093435379458857,-0.008507900517562339
2021-11-01,0.0017201558022599261,0.0005991098333075762,0.005220584505493342
2021-11-02,0.004042982410147333,0.002918083929566384,-0.0021490007233168074
2021-11-03,0.00610520691601546,0.00014936443190549653,-0.008315382622616663
2021-11-04,0.004712577482290481,0.003580813959450646,0.011340951773961994
2021-11-05,0.00346967086867056,0.0016351136733554483,0.0130629437586407
2021-11-08,0.0008537132751200716,-0.00022253070461442093,0.003591619309376348
2021-11-09,-0.003305256571553894,0.0017072988268491684,0.0049281100201232775
2021-11-10,-0.008045107726537437,-0.002667683824585043,0.010858781500706183
2021-11-11,0.000323646803445099,-0.0010401791707663754,0.005602086369596027
2021-11-12,0.007546818752449225,0.0008926839726832725,0.0018952552280546708
2021-11-15,0.00034244783714898475,-0.0019323490750136063,-0.0015477459282561279
2021-11-16,0.0039578807644924385,-0.001861307870723583,-0.007233864736584827
2021-11-17,-0.0024292045802560835,-0.000895024605325534,0.009137183945092442
2021-11-18,0.003396338783406616,0.0028370080925228525,-0.0032091550635745536
2021-11-19,-0.001788349191144456,0.002754589212280667,-0.007646325240812324
2021-11-22,-0.002815001024001784,-0.0027470222943030143,-0.022420457120115533
2021-11-23,0.001325934152792252,-0.0026056112433654466,-0.008652404091134991
2021-11-24,0.00266971335632582,-0.0019408110976786297,-0.0009565020521100642
2021-11-25,0.0,0.0003737906263565627,0.0
2021-11-26,-0.022303171965954993,-0.0016445267071792946,-0.001615539860939763
2021-11-29,0.012266861133991114,0.0014977092023671368,-0.0013785494630753625
2021-11-30,-0.019457709704244763,0.001046790050496238,-0.006721853018899604
2021-12-01,-0.011107319973707175,0.002688940265916262,0.003987937535404162
2021-12-02,0.015316358986635414,0.0017134034747079419,-0.005536820827328315
2021-12-03,-0.008701290082867241,-0.0003720613669315753,0.008412002804647267
2021-12-06,0.011843435390288537,0.0012648275106503792,-0.002460563224478851
2021-12-07,0.020684713177487213,0.0011886667582956534,0.003549490636251651
2021-12-08,0.002647847817730087,-0.002448985473590959,0.0005395140531609943
2021-12-09,-0.006751487391150501,0.0011162160308513247,-0.006111378376110088
2021-12-10,0.009413373835214678,0.0006686764203740481,0.004219899491422874
2021-12-13,-0.008858219523185662,0.00029688458769561166,0.00252130006200435
2021-12-14,-0.006879967124670094,-0.00037110721732735996,-0.009341302746070368
2021-12-15,0.015624893811690299,-0.0003712449890221903,0.004291534360497673
2021-12-16,-0.008818497397248826,0.0011142124225715921,0.012097561477355745
2021-12-17,-0.010642758084638992,0.00022278575413259283,-0.002140821851282393
2021-12-20,-0.010633434203827674,-0.00029687526196520153,-0.0042312675861405635
2021-12-21,0.017759046081867957,-0.0017070454875014462,-0.0004188884251822289
2021-12-22,0.009998697067493678,-0.0003714397990303153,0.009400024100517657
2021-12-23,0.006222113393629547,-0.0017851071227218407,0.0022540179789249937
2021-12-24,0.0,0.0009685981764286922,0.0
2021-12-27,0.01415211916074699,-0.0005953950826889098,0.002367247994286892
2021-12-28,-0.0008172681431223294,-0.00029806686552291684,-0.004310065233419702
2021-12-29,0.0012792428282657475,-0.0012664257694632308,-0.0002965076609273698
2021-12-30,-0.0027646398197025412,-0.0005220175732457699,0.0071772153754725565
2021-12-31,-0.002520109821430472,0.0,0.00683158799329231
2022-01-03,0.005789993127503612,-0.002985486551972727,-0.015383743445999576
2022-01-04,-0.00033501014477355096,-0.00037412642733380963,0.007366515057776857
2022-01-05,-0.019202033360498083,0.0003742664503036952,-0.00300766493835114
2022-01-06,-0.0009394740299181192,-0.0021706021653925545,-0.012244126909514819
2022-01-07,-0.00395355261826158,-0.00022508018481581793,0.004551137683908024
2022-01-10,-0.0012443497408471949,-0.0017260677098460686,0.0030402057039400354
2022-01-11,0.009108316237070424,-0.0009017575715538628,0.0120646549718888
2022-01-12,0.002703595745152665,0.0009025714722128431,0.002642622730480104
2022-01-13,-0.013778715817119869,-8.718561352127896e-05,-0.0033969884760131075
